---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.FileName = "..\Input\SampleBVH-output-euler-rightarm.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile7.WristAbduction
2.520200000000000e+000 -6.207780098687568e-001 1.972723841256270e-001 -5.235987755982974e-001 -2.047384136529189e-001 -4.989436288541718e-002 1.330458733703480e-001 2.200552729161774e-001 6.975198712795764e-001 5.164594215392513e-001 1.417998560543285e-001
2.524232319865320e+000 -6.205963367417651e-001 1.973904139622045e-001 -5.235987755976557e-001 -1.997600914892759e-001 -5.200054354291099e-002 1.335045692083957e-001 2.244207011930440e-001 6.952496273591308e-001 5.185566055574462e-001 1.422283786441144e-001
2.528264639730640e+000 -6.203979381879693e-001 1.974817987581812e-001 -5.235987755977545e-001 -1.947635666210119e-001 -5.417759792646789e-002 1.339602441047708e-001 2.288980190586371e-001 6.928783452147534e-001 5.206529539027418e-001 1.427296734899597e-001
2.532296959595960e+000 -6.201814315626191e-001 1.975475143774472e-001 -5.235987755978524e-001 -1.897515984929146e-001 -5.643024868361372e-002 1.344171088404670e-001 2.334851237585032e-001 6.904089350076531e-001 5.227408068085580e-001 1.433085564718717e-001
2.536329279461279e+000 -6.199455948360807e-001 1.975889284171548e-001 -5.235987755979441e-001 -1.847265193346168e-001 -5.876207345721177e-002 1.348797576375568e-001 2.381810752290231e-001 6.878485929900742e-001 5.248102566213984e-001 1.439664384774040e-001
2.540361599326599e+000 -6.196894034717528e-001 1.976075004823139e-001 -5.235987755980258e-001 -1.796902137536562e-001 -6.117627803265086e-002 1.353529076970903e-001 2.429849636630281e-001 6.852060622801934e-001 5.268512952342106e-001 1.447038638123360e-001
2.544393919191919e+000 -6.194120477382986e-001 1.976047060969381e-001 -5.235987755980938e-001 -1.746441016712235e-001 -6.367558618669181e-002 1.358413768022156e-001 2.478957513276938e-001 6.824915905576744e-001 5.288538634200624e-001 1.455205425131310e-001
2.548426239057239e+000 -6.191129449550983e-001 1.975819720366969e-001 -5.235987755981479e-001 -1.695891295845113e-001 -6.626213139420395e-002 1.363500566867388e-001 2.529121194749732e-001 6.797168647471796e-001 5.308079033255275e-001 1.464153914521216e-001
2.552458558922559e+000 -6.187917469526510e-001 1.975406233713020e-001 -5.235987755981890e-001 -1.645257702960565e-001 -6.893735378761054e-002 1.368838817787885e-001 2.580323328827873e-001 6.768949258684159e-001 5.327034106127098e-001 1.473865738998453e-001
2.556490878787879e+000 -6.184483429482743e-001 1.974818411428565e-001 -5.235987755982192e-001 -1.594540310007195e-001 -7.170190448218633e-002 1.374477930386470e-001 2.632541329038661e-001 6.740400688754544e-001 5.345304826567530e-001 1.484315272414319e-001
2.560523198653199e+000 -6.180828576938336e-001 1.974066297312356e-001 -5.235987755982403e-001 -1.543734700875086e-001 -7.455556093351895e-002 1.380466961948012e-001 2.685746613093913e-001 6.711677237726722e-001 5.362793633135512e-001 1.495469780783286e-001
2.564555518518519e+000 -6.176956446486154e-001 1.973157929505258e-001 -5.235987755982550e-001 -1.492832228862557e-001 -7.749715750999152e-002 1.386854142139457e-001 2.739904132346036e-001 6.682943116565431e-001 5.379404871508475e-001 1.507289488046538e-001
2.568587838383838e+000 -6.172872741888655e-001 1.972099170686503e-001 -5.235987755982641e-001 -1.441820356500987e-001 -8.052453322617965e-002 1.393686351813555e-001 2.794972196563548e-001 6.654370772488052e-001 5.395045247280361e-001 1.519727564060465e-001
2.572620158249158e+000 -6.168585172547686e-001 1.970893590518921e-001 -5.235987755982692e-001 -1.390683067029690e-001 -8.363449710963650e-002 1.401008574296870e-001 2.850902575164436e-001 6.626139031324698e-001 5.409624302373635e-001 1.532730055737320e-001
2.576652478114478e+000 -6.164103250642176e-001 1.969542400225481e-001 -5.235987755982747e-001 -1.339401343824931e-001 -8.682281292321585e-002 1.408863333138035e-001 2.907640779478765e-001 6.598431042848727e-001 5.423054950340331e-001 1.546235870633421e-001
2.580684797979798e+000 -6.159438054591031e-001 1.968044446229467e-001 -5.235987755982769e-001 -1.287953716740005e-001 -9.008420547805117e-002 1.417290126264968e-001 2.965126422045084e-001 6.571431990500315e-001 5.435254097654205e-001 1.560176936860891e-001
