---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.FileName = "..\Input\SampleBVH-output-euler-trunk.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
2.520200000000000e+000 2.427615236474537e+000 1.106840107106168e+000 -2.917702536926511e+000 1.237607316050762e-001 1.419462714250576e+000 9.009998001657286e-002 -4.869851819180673e-002 6.212348770218837e-002 1.693462445771339e-001
2.524232319865320e+000 2.427421994499984e+000 1.107819751428272e+000 -2.923608964836767e+000 1.232821615271997e-001 1.418500294225849e+000 8.991067626375911e-002 -4.835192798261343e-002 6.137452332141807e-002 1.713772950890944e-001
2.528264639730640e+000 2.427236107063058e+000 1.108783489570631e+000 -2.929502345144698e+000 1.226362787895072e-001 1.417526036386998e+000 8.952306673261823e-002 -4.800560199362143e-002 6.053835322797264e-002 1.734251963889193e-001
2.532296959595960e+000 2.427057507558509e+000 1.109728606803164e+000 -2.935383064540477e+000 1.218220529792797e-001 1.416540767107758e+000 8.893973479334502e-002 -4.765958126071049e-002 5.962125298626488e-002 1.754877180238638e-001
2.536329279461279e+000 2.426886077090762e+000 1.110652471035750e+000 -2.941251533828565e+000 1.208394363755304e-001 1.415545250523734e+000 8.816445587313609e-002 -4.731406282561114e-002 5.862979568183236e-002 1.775626241540424e-001
2.540361599326599e+000 2.426721669985428e+000 1.111552551214151e+000 -2.947108175847557e+000 1.196893754650008e-001 1.414540106099574e+000 8.720202385493085e-002 -4.696939771850488e-002 5.757056034061340e-002 1.796477832522659e-001
2.544393919191919e+000 2.426564120343966e+000 1.112426424839614e+000 -2.952953418305869e+000 1.183738580344342e-001 1.413525824997043e+000 8.605825271229552e-002 -4.662609780650978e-002 5.645006400538511e-002 1.817411556110554e-001
2.548426239057239e+000 2.426413248505317e+000 1.113271784527387e+000 -2.958787687306561e+000 1.168959430774627e-001 1.412502790945803e+000 8.473996302396313e-002 -4.628483858798995e-002 5.527469849365078e-002 1.838407781333580e-001
2.552458558922559e+000 2.426268867244208e+000 1.114086443713414e+000 -2.964611401796336e+000 1.152597687339587e-001 1.411471304524559e+000 8.325494925151666e-002 -4.594645743434562e-002 5.405067267655558e-002 1.859447473378413e-001
2.556490878787879e+000 2.426130787562921e+000 1.114868341595676e+000 -2.970424969111001e+000 1.134705312463731e-001 1.410431609284544e+000 8.161192084199458e-002 -4.561194627842739e-002 5.278396022269164e-002 1.880512020402113e-001
2.560523198653199e+000 2.425998823939688e+000 1.115615547371091e+000 -2.976228781732306e+000 1.115344294119093e-001 1.409383917983920e+000 7.982041251071545e-002 -4.528243814926701e-002 5.148025374348084e-002 1.901583072920414e-001
2.564555518518519e+000 2.425872798909845e+000 1.116326263791404e+000 -2.982023215290138e+000 1.094585769730850e-001 1.408328438065669e+000 7.789066788701667e-002 -4.495918816189898e-002 5.014492749476680e-002 1.922642401405556e-001
2.568587838383838e+000 2.425752546903749e+000 1.116998830024950e+000 -2.987808627750774e+000 1.072508917611108e-001 1.407265396318667e+000 7.583350624947437e-002 -4.464355023206829e-002 4.878300977806208e-002 1.943671768410942e-001
2.572620158249158e+000 2.425637917311233e+000 1.117631723791875e+000 -2.993585359668924e+000 1.049199695186388e-001 1.406195062315152e+000 7.366017983942895e-002 -4.433695063610034e-002 4.739916434568627e-002 1.964652814929043e-001
2.576652478114478e+000 2.425528776764009e+000 1.118223562733331e+000 -2.999353735349025e+000 1.024749462146080e-001 1.405117769423554e+000 7.138222514406459e-002 -4.404085930399403e-002 4.599768000840692e-002 1.985566969135904e-001
2.580684797979798e+000 2.425425010654246e+000 1.118773104968933e+000 -3.005114064729075e+000 9.992535122333052e-002 1.404033932144256e+000 6.901131063404296e-002 -4.375675960040677e-002 4.458246831198940e-002 2.006395386657222e-001
2.584717117845118e+000 2.425326523946584e+000 1.119279248811137e+000 -3.010866645776969e+000 9.728095620472085e-002 1.402944059132381e+000 6.655908562544183e-002 -4.348611733324973e-002 4.315706884134857e-002 2.027118925723777e-001
