---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.FileName = "..\Input\SampleBVH-output-euler-leftlegtd.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
2.604878717171717e+000 3.085164684911980e-001 2.842173364111056e-002 2.504514924433369e-001 1.008945649557334e+000 -3.915764944374914e-001 2.135857104209645e-001
2.608911037037037e+000 3.165189060790728e-001 3.236432026952851e-002 2.531460208131529e-001 1.003260153547532e+000 -3.729701456829578e-001 2.160979209172030e-001
2.612943356902357e+000 3.242693971170926e-001 3.629070233519327e-002 2.558170360206255e-001 9.967254496836756e-001 -3.544773283284748e-001 2.188283628225674e-001
2.616975676767677e+000 3.317605689166622e-001 4.019512538194769e-002 2.584640211991732e-001 9.893303208451072e-001 -3.361671141161862e-001 2.217622433165910e-001
2.621007996632997e+000 3.389856610223563e-001 4.407199175271126e-002 2.610869925240444e-001 9.810657856865873e-001 -3.181049630529955e-001 2.248823771799506e-001
2.625040316498317e+000 3.459384646758429e-001 4.791590920185973e-002 2.636865629235639e-001 9.719251492011546e-001 -3.003525280567349e-001 2.281693318852727e-001
2.629072636363636e+000 3.526132688193178e-001 5.172173749632170e-002 2.662640118542966e-001 9.619040409088406e-001 -2.829675937962345e-001 2.316016145035540e-001
2.633104956228956e+000 3.590048146484720e-001 5.548463128823622e-002 2.688213636469575e-001 9.510004476210312e-001 -2.660041252552419e-001 2.351558928020927e-001
2.637137276094276e+000 3.651082605927193e-001 5.920007845044428e-002 2.713614771650174e-001 9.392147464839156e-001 -2.495124006102138e-001 2.388072416712783e-001
2.641169595959596e+000 3.709191592975074e-001 6.286393484839037e-002 2.738881489400009e-001 9.265497433938069e-001 -2.335392033620150e-001 2.425294077033478e-001
2.645201915824916e+000 3.764334478034261e-001 6.647245711257699e-002 2.764062305577256e-001 9.130107215592619e-001 -2.181280494757234e-001 2.462950842251897e-001
2.649234235690236e+000 3.816474520139543e-001 7.002233468433827e-002 2.789217594896896e-001 8.986055044036606e-001 -2.033194257183840e-001 2.500761808929128e-001
2.653266555555556e+000 3.865579063484417e-001 7.351072150633908e-002 2.814421018287571e-001 8.833445360299997e-001 -1.891510165118508e-001 2.538440656624244e-001
2.657298875420875e+000 3.911619889391489e-001 7.693526608457058e-002 2.839761058339127e-001 8.672409811788405e-001 -1.756578999080260e-001 2.575697627995067e-001
2.661331195286195e+000 3.954573721654092e-001 8.029413766277771e-002 2.865342658372179e-001 8.503108452029111e-001 -1.628726958201973e-001 2.612240964950434e-001
2.665363515151515e+000 3.994422879575527e-001 8.358604653066171e-002 2.891288962325276e-001 8.325731133662632e-001 -1.508256494489855e-001 2.647777651601786e-001
2.669395835016835e+000 4.031156071290686e-001 8.681025675047871e-002 2.917743150356164e-001 8.140499079665000e-001 -1.395446339084646e-001 2.682013288768016e-001
2.673428154882155e+000 4.064769318992552e-001 8.996658913464239e-002 2.944870356366287e-001 7.947666613330410e-001 -1.290550604502976e-001 2.714650999097509e-001
2.677460474747475e+000 4.095267005887320e-001 9.305541144000529e-002 2.972859636619496e-001 7.747523020694397e-001 -1.193796890530307e-001 2.745389334938195e-001
2.681492794612795e+000 4.122663032305595e-001 9.607761195776132e-002 3.001925939418171e-001 7.540394503104594e-001 -1.105383352237424e-001 2.773919176946985e-001
2.685525114478114e+000 4.146982066759464e-001 9.903455276773143e-002 3.032312009543722e-001 7.326646157716592e-001 -1.025474731486309e-001 2.799919647472975e-001
