---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.FileName = "..\Input\SampleBVH-output-euler-rightlegtd.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile3.SubTalarEversion
2.520200000000000e+000 2.401697431555947e-001 -2.607079333719398e-002 -1.608875375728879e-001 2.659679612089173e-001 -1.298241251556593e-001 2.708578440818829e-001
2.524232319865320e+000 2.323105276412860e-001 -2.533723523555342e-002 -1.610350994104960e-001 2.633302226690287e-001 -1.281618632610150e-001 2.712996422107661e-001
2.528264639730640e+000 2.243585982927059e-001 -2.450727604996694e-002 -1.609109660912202e-001 2.603808419973415e-001 -1.263343418167041e-001 2.713057842092178e-001
2.532296959595960e+000 2.163210608545084e-001 -2.358769894503188e-002 -1.605177872668051e-001 2.571328050224999e-001 -1.243436561662773e-001 2.708770940490536e-001
2.536329279461279e+000 2.082049003636390e-001 -2.258556289431501e-002 -1.598566724971266e-001 2.535996908201288e-001 -1.221917482507624e-001 2.700130295744054e-001
2.540361599326599e+000 2.000169151794793e-001 -2.150818736736859e-002 -1.589292025348688e-001 2.497955149882955e-001 -1.198810429826873e-001 2.687135260572215e-001
2.544393919191919e+000 1.917637067564869e-001 -2.036307408962235e-002 -1.577375382256268e-001 2.457346883252833e-001 -1.174144298128849e-001 2.669790839952567e-001
2.548426239057239e+000 1.834516718957858e-001 -1.915782843756086e-002 -1.562845199039560e-001 2.414319731041774e-001 -1.147952482285536e-001 2.648108733086261e-001
2.552458558922559e+000 1.750869970385139e-001 -1.790008274848876e-002 -1.545737614634972e-001 2.369024359150525e-001 -1.120272703304972e-001 2.622108358531370e-001
2.556490878787879e+000 1.666756552080903e-001 -1.659742221677463e-002 -1.526097401549325e-001 2.321613961411969e-001 -1.091146810374475e-001 2.591817813293807e-001
2.560523198653199e+000 1.582234062685807e-001 -1.525731439748657e-002 -1.503978801035411e-001 2.272243695999527e-001 -1.060620606956698e-001 2.557274841777861e-001
2.564555518518519e+000 1.497357999795624e-001 -1.388704452801459e-002 -1.479446268704605e-001 2.221070079508318e-001 -1.028743720329436e-001 2.518527885717660e-001
2.568587838383838e+000 1.412181807031038e-001 -1.249365817409398e-002 -1.452575104827474e-001 2.168250351768670e-001 -9.955695125603481e-002 2.475637228463639e-001
2.572620158249158e+000 1.326756931685899e-001 -1.108391120400198e-002 -1.423451946721395e-001 2.113941822218483e-001 -9.611550445174742e-002 2.428676208869969e-001
2.576652478114478e+000 1.241132892829578e-001 -9.664227095872890e-003 -1.392175106763015e-001 2.058301205111454e-001 -9.255611048233228e-002 2.377732469360322e-001
2.580684797979798e+000 1.155357360003689e-001 -8.240662078474736e-003 -1.358854741112691e-001 2.001483953671468e-001 -8.888522871949554e-002 2.322909205433508e-001
2.584717117845118e+000 1.069476239597040e-001 -6.818878154480901e-003 -1.323612834019444e-001 1.943643609153705e-001 -8.510970778611056e-002 2.264326380821340e-001
2.588749437710438e+000 9.835337640110289e-002 -5.404124103083552e-003 -1.286582995568689e-001 1.884931181701623e-001 -8.123679123979763e-002 2.202121855029997e-001
2.592781757575758e+000 8.975725802355007e-002 -4.001225726582236e-003 -1.247910093271855e-001 1.825494574649584e-001 -7.727411650234770e-002 2.136452350070796e-001
2.596814077441077e+000 8.116338336953989e-002 -2.614586377871486e-003 -1.207749744431093e-001 1.765478059084511e-001 -7.322970433527345e-002 2.067494176161362e-001
2.600846397306397e+000 7.257572365121029e-002 -1.248196174610472e-003 -1.166267674159652e-001 1.705021804988580e-001 -6.911193789568101e-002 1.995443648190318e-001
